cantidad,parejas,puesta,estado,altura,longitud,ancho,eclosion,vivos
1,A,OR01,Eclosionó,1.97,2.31,1.58,SI,NO
2,A,OR01,Adulto,2.07,2.4,1.68,SI,SI
3,A,OR01,No eclosionó,2.02,2.35,1.65,NO,NO
4,A,OR01,No eclosionó,2.02,2.28,1.62,NO,NO
5,A,OR01,Eclosionó,2.13,2.25,1.63,SI,NO
6,A,OR01,Eclosionó,2,2.22,1.62,SI,NO
7,A,OR01,No eclosionó,1.95,2.14,1.54,NO,NO
8,A,OR01,No eclosionó,2.01,2.18,1.47,NO,NO
9,A,OR01,No eclosionó,1.93,2.17,1.48,NO,NO
10,A,OR01,Eclosionó,2.01,2.18,1.64,SI,NO
11,A,OR01,No eclosionó,1.92,2.25,1.52,NO,NO
12,A,OR01,Eclosionó,1.99,2.23,1.63,SI,NO
13,A,OR01,Eclosionó,2.03,2.27,1.56,SI,NO
14,A,OR01,Adulto,2.05,2.17,1.55,SI,SI
15,A,OR01,Adulto,2.09,2.3,1.65,SI,SI
16,A,OR01,Eclosionó,2.03,2.32,1.53,SI,NO
17,A,OR01,Eclosionó,2,2.35,1.61,SI,NO
18,A,OR01,Adulto,2.06,2.01,1.59,SI,SI
19,A,OR01,No eclosionó,2.06,2.26,1.68,NO,NO
20,A,OR01,Eclosionó,2.08,2.18,1.66,SI,NO
21,A,OR01,No eclosionó,2.04,2.19,1.56,NO,NO
22,A,OR01,Eclosionó,2.04,2.17,1.69,SI,NO
23,A,OR01,Adulto,2.12,2.27,1.65,SI,SI
24,A,OR01,No eclosionó,2.04,2.22,1.62,NO,NO
25,A,OR01,No eclosionó,1.94,2.17,1.52,NO,NO
26,A,OR01,No eclosionó,1.99,2.23,1.63,NO,NO
27,A,OR01,No eclosionó,1.87,2.08,1.57,NO,NO
28,A,OR01,Eclosionó,2.05,2.12,1.59,SI,NO
29,A,OR01,No eclosionó,1.83,2.05,1.61,NO,NO
30,A,OR01,No eclosionó,1.94,2.21,1.59,NO,NO
31,A,OR01,No eclosionó,1.88,2.12,1.48,NO,NO
32,A,OR01,No eclosionó,1.92,2.1,1.49,NO,NO
33,A,OR01,Eclosionó,1.82,2.03,1.44,SI,NO
34,A,OR01,No eclosionó,1.93,2.15,1.59,NO,NO
35,A,OR01,No eclosionó,2,2.23,1.61,NO,NO
36,A,OR01,No eclosionó,1.92,2.11,1.41,NO,NO
37,A,OR01,No eclosionó,1.9,2.12,1.54,NO,NO
38,A,OR01,Eclosionó,1.77,2.08,1.49,SI,NO
39,A,OR01,No eclosionó,1.75,2.05,1.47,NO,NO
40,A,OR01,No eclosionó,1.79,2.03,1.48,NO,NO
41,A,OR01,No eclosionó,1.73,2,1.3,NO,NO
42,A,OR01,No eclosionó,1.87,2.04,1.53,NO,NO
43,A,OR01,No eclosionó,1.91,2.12,1.57,NO,NO
44,A,OR01,Eclosionó,1.45,2.05,1.81,SI,NO
45,A,OR01,No eclosionó,1.79,2.04,1.5,NO,NO
46,A,OR01,No eclosionó,1.62,1.98,1.15,NO,NO
47,A,OR01,No eclosionó,1.81,2.02,1.48,NO,NO
48,A,OR01,No eclosionó,1.98,2.13,1.58,NO,NO
49,A,OR01,No eclosionó,1.79,2.03,1.48,NO,NO
50,A,OR01,No eclosionó,1.96,2.21,1.57,NO,NO
51,A,OR01,Eclosionó,1.75,2.03,1.48,SI,NO
52,A,OR01,No eclosionó,1.82,2.12,1.43,NO,NO
53,A,OR01,No eclosionó,1.82,2.09,1.46,NO,NO
54,A,OR01,No eclosionó,1.89,2.13,1.59,NO,NO
55,A,OR01,No eclosionó,1.94,2.1,1.6,NO,NO
56,A,OR01,No eclosionó,1.92,2.21,1.57,NO,NO
57,A,OR01,No eclosionó,1.71,1.98,1.36,NO,NO
58,A,OR01,No eclosionó,1.91,2.18,1.46,NO,NO
59,A,OR01,No eclosionó,2.02,2.21,1.62,NO,NO
60,A,OR01,No eclosionó,1.82,2,1.52,NO,NO
61,A,OR01,No eclosionó,1.99,2.24,1.64,NO,NO
62,A,OR01,No eclosionó,1.99,2.18,1.34,NO,NO
63,A,OR01,No eclosionó,1.89,2.14,1.48,NO,NO
